POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,provinsi,ketersediaan_bulanan_persen
71020301a,UPTD Eris,1.23,124.85,Sulut,79.17
71020302a,BPP Eris,1.23,124.92,Sulut,51.92
71020401a,UPTD Kombi,1.24,124.97,Sulut,77.88
71020501a,UPTD Lembean Timur,1.22,124.96,Sulut,75.96
71020502a,BPP Lembean Timur,1.22,124.96,Sulut,51.6
71020601a,BBU Wasian Kakas,1.17,124.87,Sulut,92.31
71020701a,BPP Tompaso,1.19,124.79,Sulut,49.04
71020801a,BPP Remboken,1.24,124.89,Sulut,72.76
71020901a,KD Sumaraya,1.18,124.84,Sulut,51.92
71021001a,BPP Langowan Barat,1.14,124.82,Sulut,51.92
71021101a,KC Sonder,1.26,124.78,Sulut,66.35
71021201a,KD Kanonang II,1.18,124.78,Sulut,57.69
71021202a,UPTD Kawangkoan,1.2,124.79,Sulut,80.13
71021301a,SPP Kalasey,1.45,124.77,Sulut,98.72
71021302a,KD Kali Pineleng,1.4,124.84,Sulut,58.97
71021303a,BPP Pineleng,1.43,124.8,Sulut,66.03
71021401a,BPP Tombulu,1.45,124.89,Sulut,51.6
71021501a,"KD Tambala, Tanawangko",1.4,124.69,Sulut,92.31
71021502a,BPP Tombariri,1.34,124.73,Sulut,50.96
71021601a,BPP Tondano Utara,1.32,124.91,Sulut,49.04
71021602a,PLTA Tonsealama,1.33,124.92,Sulut,70.83
71021701a,BPP Langowan Selatan,1.14,124.84,Sulut,44.23
71021801a,BPP Tondano Selatan,1.29,124.88,Sulut,51.92
71021901a,BPP Langowan Utara,1.18,124.86,Sulut,75.96
71050101a,UPTD Modoinding,0.8,124.45,Sulut,79.17
71050201a,UPTD Tompaso Baru,0.93,124.47,Sulut,82.37
71050301a,BPP Ranoyapo,0.99,124.5,Sulut,36.22
71050701a,BPP Motoling,1.04,124.47,Sulut,62.82
71050801a,BPP Sinonsayang,1.12,124.34,Sulut,45.19
71050901a,UPP Tenga,1.17,124.44,Sulut,86.54
71051001a,BPP Amurang,1.18,124.57,Sulut,47.44
71051201a,UPTD Tumpaan,1.27,124.62,Sulut,72.44
71051202a,BBTPH Tumpaan,1.27,124.62,Sulut,43.27
71051203a,BPP Tumpaan,1.26,124.61,Sulut,44.23
71051301a,UPTD Tareran,1.23,124.73,Sulut,81.41
71051601a,BPP Maesaan,0.88,124.48,Sulut,51.6
71051701a,BPP Amurang Barat,1.19,124.51,Sulut,51.92
71051801a,BPP Amurang Timur,1.21,124.6,Sulut,43.91
71051901a,BPP Tatapaan,1.28,124.61,Sulut,44.55
71052201a,BPP Motoling Timur,1.07,124.5,Sulut,50.96
71052301a,BPP Suluun Tareran,1.28,124.7,Sulut,39.1
71060101a,BPP Kema I,1.38,125.07,Sulut,77.88
71060102a,KD Makalisung,1.29,125.04,Sulut,36.22
71060201a,KC Kauditan,1.4,125.05,Sulut,71.15
71060202a,BPP Kauditan,1.39,125.02,Sulut,26.28
71060301a,UPP Airmadidi,1.43,124.98,Sulut,99.36
71060302a,BPP Airmadidi,1.43,124.97,Sulut,36.86
71060401a,BPP Wori,1.6,124.86,Sulut,85.58
71060501a,UPP Tatelu,1.54,125,Sulut,83.65
71060502a,BPP Dimembe,1.5,124.98,Sulut,58.97
71060503a,KD Klabat,1.5,125.06,Sulut,36.22
71060601a,KD Tarabitan Likupang Barat,1.74,124.99,Sulut,75.64
71060602a,BPP Likupang Barat,1.75,125,Sulut,47.12
71060701a,UPTD Likupang Timur,1.66,125.06,Sulut,65.06
71060702a,BPP Likupang Timur,1.66,125.11,Sulut,15.71
71060801a,BPP Kalawat,1.45,124.93,Sulut,47.12
71060901a,KD Talawaan,1.54,124.95,Sulut,37.18
71060902a,BPP Talawaan,1.55,124.95,Sulut,50.64
71060904a,Staklim Minahasa Utara,1.5,124.9,Sulut,100
71061001a,BPP Likupang Selatan,1.61,125.02,Sulut,46.47
71070101a,UPTD Ratahan,1.05,124.8,Sulut,97.76
71070102a,Bp4K Ratahan,1.04,124.79,Sulut,43.59
71070201a,BPP Pusomaen,0.99,124.87,Sulut,46.47
71070301a,BPP Belang,0.94,124.79,Sulut,51.92
71070401a,KC Ratatotok,0.94,124.79,Sulut,52.88
71070501a,TCSDP Tombatu,1.04,124.68,Sulut,99.36
71070502a,BPP Tombatu,1.37,124.68,Sulut,44.23
71070601a,BPP Touluaan,1.05,124.66,Sulut,66.99
71080101a,BPP Sangkub,0.87,123.64,Sulut,51.92
71080201a,BPP Bintauna,0.88,123.58,Sulut,51.92
71080301a,BPP Bolangitang Timur,0.88,123.44,Sulut,51.92
71080401a,BPP Bolangitang Barat,0.9,123.32,Sulut,51.6
71080501a,BPP Kaidipang,0.9,123.28,Sulut,51.92
71080601a,BPP Pinogaluman,0.91,123.13,Sulut,51.6
71100101a,BPP Tutuyan,0.74,124.61,Sulut,51.92
71100201a,UPP Kotabunan,0.81,124.66,Sulut,94.23
71100202a,BPP/KC Kotabunan,0.81,124.66,Sulut,44.55
71100301a,KD Molobog,0.65,124.54,Sulut,72.12
71100302a,BPP Nuangan,0.6,124.52,Sulut,43.91
71100401a,BPP Modayag,0.71,124.38,Sulut,67.63
71100501a,BPP Modayag Barat,0.72,124.37,Sulut,39.74
71110101a,KC Bolaang Uki,0.39,123.98,Sulut,41.67
71110201a,BPP Posigadan,0.3,123.62,Sulut,17.63
71110301a,UPTD Pinolosian,0.39,124.12,Sulut,95.51
71110401a,BPP Pinolosian Tengah,0.44,124.26,Sulut,46.79
71110501a,BPP Pinolosian Timur,0.48,124.35,Sulut,18.91
71710102a,KKel. Tongkaina,1.58,124.82,Sulut,26.6
71710103a,KKel. Meras,1.55,124.82,Sulut,35.58
71710104a,KKel. Bailang,1.53,124.85,Sulut,26.28
71710201a,KC Tuminting,1.51,124.85,Sulut,59.29
71710202a,Bp4K Manado,1.5,124.84,Sulut,32.05
71710501a,KKel. Paal 4,1.47,124.87,Sulut,36.86
71710801a,BPP Mapanget,1.56,124.86,Sulut,43.91
71710802a,KP Pandu,1.58,124.88,Sulut,89.74
71710803a,KKel. Kairagi II,1.5,124.9,Sulut,30.13
71710804a,POLITEKNIK,1.51,124.89,Sulut,37.18
71710805a,Stamet Samrat,1.54,124.92,Sulut,99.68
71710901a,Stageof Winangun,1.45,124.84,Sulut,99.68
71710902a,KKel. Malalayang II,1.45,124.8,Sulut,25
71710903a,Faperta Unsrat,1.46,124.83,Sulut,36.54
71720201a,Stamar Bitung,1.44,125.18,Sulut,99.68
71720301a,UPT Danowudu,1.46,125.13,Sulut,83.65
71720302a,TWA-BKSDA Batu Putih,1.57,125.16,Sulut,13.14
71720304a,KKel. Pinasungkulan,1.55,125.12,Sulut,37.18
71720401a,BPP Aertembaga,1.46,125.21,Sulut,93.27
71720501a,UPT Matuari,1.43,125.11,Sulut,51.92
71720502a,KKel. Tendeki,1.45,125.1,Sulut,5.77
71720702a,KKel. Kakenturan II,1.46,125.2,Sulut,36.54
71730101a,BPP/UPTD Tumatantang,1.3,124.83,Sulut,80.13
71730201a,BPP Tomohon Tengah,1.34,124.84,Sulut,62.18
71730301a,BPP Tomohon Utara,1.39,124.82,Sulut,51.28
71730401a,BPP Tomohon Barat,1.32,124.78,Sulut,51.6
71730501a,BPP Tomohon Timur,1.3,124.85,Sulut,46.79
71740101a,BPP Kotamobagu Utara,0.76,124.34,Sulut,46.79
71740201a,BPP Kotamobagu Timur,0.72,124.32,Sulut,51.92
71740301a,BPP Kotamobagu Selatan,0.72,124.29,Sulut,41.03
71740401a,BPP Mongkonai,0.74,124.28,Sulut,69.87
71740402a,KC Kotamobagu Barat,0.74,124.28,Sulut,65.71
